word,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
תאנה,1,0,0,0,1,0,0,0,0
ויעשו,3,4,30,1,5,26,1,5,1
חגרת,1,0,0,0,1,0,0,0,0
וישמעו,4,1,1,0,4,1,0,0,1
קול,3,10,3,0,5,9,2,0,12
מתהלך,1,0,0,0,1,0,0,0,1
לרוח,1,0,0,0,1,0,0,0,0
ויתחבא,1,0,0,0,1,0,0,0,0
מפני,6,11,8,1,10,9,2,6,4
איכה,1,0,0,0,1,0,0,0,5
קלך,1,0,0,0,1,0,0,0,0
שמעתי,4,3,3,0,6,3,0,1,2
ואירא,1,0,0,0,1,0,0,0,0
עירם,5,0,0,0,5,0,0,0,1
אנכי,31,39,3,0,49,20,0,5,53
ואחבא,1,0,0,0,1,0,0,0,0
מי,18,18,10,1,17,13,0,17,15
הגיד,1,2,0,0,3,0,0,0,0
לך,47,69,60,0,83,53,10,33,144
אתה,50,37,79,2,63,43,25,37,59
המן,1,2,3,0,1,2,0,3,1
צויתיך,2,0,0,0,2,0,0,0,0
לבלתי,4,4,5,0,4,4,3,2,5
אכלת,1,0,2,0,1,1,0,1,0
נתתה,2,0,0,0,2,0,0,0,2
עמדי,5,10,2,0,14,2,1,0,3
נתנה,3,0,0,0,2,0,0,1,0
לי,54,69,44,1,87,39,12,31,8
ואכל,5,3,3,0,6,3,2,0,2
עשית,11,7,0,1,16,1,0,2,1
השיאני,1,0,0,0,1,0,0,0,0
ארור,5,1,0,0,5,0,0,1,16
ומכל,3,0,2,0,4,0,1,0,0
גחנך,1,0,0,0,1,0,0,0,0
תלך,7,2,1,0,7,0,1,2,0
ועפר,1,1,1,0,2,0,1,0,1
ימי,9,4,20,13,27,0,10,8,5
חייך,2,1,0,0,3,0,0,0,6
ואיבה,1,0,0,0,1,0,0,0,0
אשית,1,0,0,0,1,0,0,0,0
בינך,1,0,0,0,1,0,0,0,0
זרעך,11,4,2,0,17,0,0,0,4
זרעה,1,0,0,0,1,0,0,0,0
ישופך,1,0,0,0,1,0,0,0,0
ראש,5,15,35,1,9,11,16,19,3
ואתה,6,7,14,0,9,11,1,6,14
תשופנו,1,0,0,0,1,0,0,0,0
עקב,4,1,0,0,4,0,0,1,2
הרבה,3,1,0,0,4,0,0,0,2
ארבה,2,5,0,0,3,4,0,0,0
עצבונך,1,0,0,0,1,0,0,0,0
והרנך,1,0,0,0,1,0,0,0,0
בעצב,1,0,0,0,1,0,0,0,0
תלדי,1,0,0,0,1,0,0,0,0
בנים,7,5,3,17,28,4,0,2,9
ואל,17,11,66,3,23,16,30,29,19
אישך,1,0,3,0,1,0,0,3,0
תשוקתך,1,0,0,0,1,0,0,0,0
והוא,20,9,17,1,25,2,12,9,6
ימשל,1,1,0,0,1,1,0,0,0
בך,3,4,1,0,4,3,0,1,23
שמעת,3,2,0,0,4,1,0,0,5
לקול,2,2,0,0,2,2,0,0,0
אשתך,8,0,2,0,10,0,0,0,0
ארורה,1,0,0,0,1,0,0,0,0
בעבורך,2,0,0,0,2,0,0,0,0
בעצבון,1,0,0,0,1,0,0,0,0
תאכלנה,1,0,0,0,1,0,0,0,0
וקוץ,1,0,0,0,1,0,0,0,0
ודרדר,1,0,0,0,1,0,0,0,0
תצמיח,1,0,0,0,1,0,0,0,0
ואכלת,1,1,0,0,1,1,0,0,13
בזעת,1,0,0,0,1,0,0,0,0
אפיך,2,0,0,0,1,1,0,0,0
לחם,12,9,23,2,18,14,13,2,6
עד,59,52,105,3,64,50,54,47,65
שובך,1,0,0,0,1,0,0,0,0
ממנה,2,1,20,0,5,12,6,0,0
לקחת,4,1,1,0,6,0,0,0,3
תשוב,2,0,0,0,2,0,0,0,3
אשתו,16,4,11,0,23,2,1,5,1
חוה,2,0,0,0,2,0,0,0,0
אם,57,62,42,1,62,45,18,37,26
חי,11,1,6,4,17,0,3,2,2
לאדם,1,1,0,0,1,1,0,0,0
ולאשתו,1,0,0,0,1,0,0,0,0
כתנות,1,0,0,0,1,0,0,0,0
עור,1,4,20,0,1,4,13,7,2
וילבשם,1,0,1,0,1,0,1,0,0
הן,12,5,6,1,12,4,3,4,4
כאחד,2,0,0,0,2,0,0,0,0
לדעת,2,0,2,0,2,2,0,0,4
ועתה,20,26,2,0,26,14,0,8,6
ישלח,3,1,0,0,3,3,0,0,2
ידו,7,15,32,0,11,15,26,3,4
ולקח,1,1,25,0,1,2,17,7,2
מעץ,1,0,0,0,1,0,0,0,0
וחי,1,3,3,0,1,1,3,2,4
לעלם,3,3,2,0,2,5,1,0,2
וישלחהו,1,1,0,0,2,0,0,0,0
מגן,3,0,0,0,3,0,0,0,1
משם,19,5,3,2,20,0,1,8,9
ויגרש,1,1,0,0,1,1,0,0,1
וישכן,2,0,2,0,2,1,0,1,1
לגן,1,0,0,0,1,0,0,0,0
הכרבים,1,0,8,0,1,7,0,1,0
להט,1,0,0,0,1,0,0,0,0
החרב,1,0,0,0,1,0,0,0,0
המתהפכת,1,0,0,0,1,0,0,0,0
לשמר,1,2,2,0,1,3,0,1,13
דרך,11,9,0,1,7,5,0,10,8
והאדם,1,0,0,0,1,0,0,0,0
ותהר,12,5,0,0,17,1,0,0,0
ותלד,16,10,10,0,31,5,0,1,0
קין,15,1,0,0,15,0,0,1,0
קניתי,2,0,0,0,2,0,0,0,0
ותסף,2,0,0,0,2,0,0,0,0
ללדת,2,0,0,0,2,0,0,0,0
אחיו,50,18,13,0,69,7,4,3,11
הבל,7,0,0,0,7,0,0,0,0
